matrix_size,exponent,field_size,computation_time_ns
40,1000000,1048576,122882700
40,1000000,1048576,122278700
40,1000000,1048576,123604600
40,1000000,1048576,123483100
40,1000000,1048576,122404800
40,1000000,1048576,121558700
40,1000000,1048576,123349900
40,1000000,1048576,122646200
40,1000000,1048576,123410900
40,1000000,1048576,124563900
40,1000000,1048576,121376400
40,1000000,1048576,122281800
40,1000000,1048576,121755300
40,1000000,1048576,122072500
40,1000000,1048576,122884500
40,1000000,1048576,121766900
40,1000000,1048576,121214500
40,1000000,1048576,122415200
40,1000000,1048576,122224400
40,1000000,1048576,122162700
40,1000000,1048576,121198300
40,1000000,1048576,123111800
40,1000000,1048576,122184400
40,1000000,1048576,121350100
40,1000000,1048576,122208800
40,1000000,1048576,121319400
40,1000000,1048576,122061500
40,1000000,1048576,122573200
40,1000000,1048576,122184100
40,1000000,1048576,121510400
40,1000000,1048576,122777900
40,1000000,1048576,121610100
40,1000000,1048576,120961000
40,1000000,1048576,122958800
40,1000000,1048576,122576200
40,1000000,1048576,121446500
40,1000000,1048576,121931200
40,1000000,1048576,121369900
40,1000000,1048576,121179400
40,1000000,1048576,123399700
40,1000000,1048576,122874400
40,1000000,1048576,121616500
40,1000000,1048576,122344500
40,1000000,1048576,121634900
40,1000000,1048576,123116800
40,1000000,1048576,135451800
40,1000000,1048576,130060300
40,1000000,1048576,123445100
40,1000000,1048576,121862500
40,1000000,1048576,123547100
40,1000000,1048576,122931600
40,1000000,1048576,125289600
40,1000000,1048576,125366800
40,1000000,1048576,125043400
40,1000000,1048576,138172200
40,1000000,1048576,126157200
40,1000000,1048576,131769300
40,1000000,1048576,127918700
40,1000000,1048576,128787900
40,1000000,1048576,126774300
40,1000000,1048576,126451700
40,1000000,1048576,124607300
40,1000000,1048576,127530800
40,1000000,1048576,129843700
40,1000000,1048576,123332400
40,1000000,1048576,131030800
40,1000000,1048576,131082100
40,1000000,1048576,159135200
40,1000000,1048576,133547400
40,1000000,1048576,135941600
40,1000000,1048576,133042700
40,1000000,1048576,128983900
40,1000000,1048576,129795300
40,1000000,1048576,127046900
40,1000000,1048576,132213300
40,1000000,1048576,125620900
40,1000000,1048576,125219400
40,1000000,1048576,125586300
40,1000000,1048576,124622800
40,1000000,1048576,123538700
40,1000000,1048576,123604600
40,1000000,1048576,123448000
40,1000000,1048576,133954200
40,1000000,1048576,139918600
40,1000000,1048576,124892100
40,1000000,1048576,128206100
40,1000000,1048576,124272500
40,1000000,1048576,122582400
40,1000000,1048576,123630700
40,1000000,1048576,126041800
40,1000000,1048576,122163900
40,1000000,1048576,124259700
40,1000000,1048576,122782700
40,1000000,1048576,122171100
40,1000000,1048576,122522200
40,1000000,1048576,121961200
40,1000000,1048576,121781800
40,1000000,1048576,121133100
40,1000000,1048576,121967800
40,1000000,1048576,122318700
40,1000000,1048576,121621700
40,1000000,1048576,121318700
40,1000000,1048576,121562200
