matrix_size,exponent,field_size,computation_time_ns
10,1000000,1048576,1971300
10,1000000,1048576,1927300
10,1000000,1048576,1987000
10,1000000,1048576,1947000
10,1000000,1048576,2017200
10,1000000,1048576,1946600
10,1000000,1048576,1949100
10,1000000,1048576,2007300
10,1000000,1048576,2049800
10,1000000,1048576,1998100
10,1000000,1048576,2227500
10,1000000,1048576,1959800
10,1000000,1048576,2037600
10,1000000,1048576,2018300
10,1000000,1048576,2063200
10,1000000,1048576,2049900
10,1000000,1048576,1970000
10,1000000,1048576,2078900
10,1000000,1048576,2034500
10,1000000,1048576,1999300
10,1000000,1048576,1962600
10,1000000,1048576,1971200
10,1000000,1048576,1947200
10,1000000,1048576,1953400
10,1000000,1048576,2234500
10,1000000,1048576,1965400
10,1000000,1048576,1984500
10,1000000,1048576,2165600
10,1000000,1048576,2110500
10,1000000,1048576,2064200
10,1000000,1048576,1968100
10,1000000,1048576,2003500
10,1000000,1048576,1968200
10,1000000,1048576,1951200
10,1000000,1048576,1931900
10,1000000,1048576,1966800
10,1000000,1048576,1968200
10,1000000,1048576,1944000
10,1000000,1048576,2056600
10,1000000,1048576,1958100
10,1000000,1048576,2072900
10,1000000,1048576,2009600
10,1000000,1048576,1991700
10,1000000,1048576,2078200
10,1000000,1048576,1970000
10,1000000,1048576,2116700
10,1000000,1048576,2120700
10,1000000,1048576,2015700
10,1000000,1048576,2004500
10,1000000,1048576,2075300
10,1000000,1048576,1973900
10,1000000,1048576,2003000
10,1000000,1048576,1997600
10,1000000,1048576,1957300
10,1000000,1048576,2105300
10,1000000,1048576,1971400
10,1000000,1048576,1960300
10,1000000,1048576,2025700
10,1000000,1048576,2142700
10,1000000,1048576,2057300
10,1000000,1048576,2015100
10,1000000,1048576,2105600
10,1000000,1048576,2184700
10,1000000,1048576,1968000
10,1000000,1048576,1962300
10,1000000,1048576,1957900
10,1000000,1048576,2025300
10,1000000,1048576,2067400
10,1000000,1048576,1972200
10,1000000,1048576,1989400
10,1000000,1048576,1967600
10,1000000,1048576,2119000
10,1000000,1048576,1944200
10,1000000,1048576,1930000
10,1000000,1048576,1963900
10,1000000,1048576,2013000
10,1000000,1048576,2105800
10,1000000,1048576,2075200
10,1000000,1048576,2029500
10,1000000,1048576,1961700
10,1000000,1048576,1969800
10,1000000,1048576,2281300
10,1000000,1048576,2030900
10,1000000,1048576,1964000
10,1000000,1048576,1963600
10,1000000,1048576,1955700
10,1000000,1048576,1957900
10,1000000,1048576,2033400
10,1000000,1048576,1986700
10,1000000,1048576,1942600
10,1000000,1048576,1970900
10,1000000,1048576,1963000
10,1000000,1048576,1947200
10,1000000,1048576,1925200
10,1000000,1048576,2008900
10,1000000,1048576,2008900
10,1000000,1048576,1983300
10,1000000,1048576,1944000
10,1000000,1048576,1969400
10,1000000,1048576,2017300
10,1000000,1048576,2248100
10,1000000,1048576,1996700
10,1000000,1048576,1992500
10,1000000,1048576,1961600
10,1000000,1048576,1968600
10,1000000,1048576,1952400
10,1000000,1048576,1970800
10,1000000,1048576,1968600
10,1000000,1048576,1951500
10,1000000,1048576,2072000
10,1000000,1048576,1959000
10,1000000,1048576,1952900
10,1000000,1048576,2073600
10,1000000,1048576,1979700
10,1000000,1048576,2012700
10,1000000,1048576,2029000
10,1000000,1048576,2067700
10,1000000,1048576,1959200
10,1000000,1048576,2014900
10,1000000,1048576,2156800
10,1000000,1048576,2155500
10,1000000,1048576,2180000
10,1000000,1048576,1994200
10,1000000,1048576,2004100
10,1000000,1048576,1985400
10,1000000,1048576,2154000
10,1000000,1048576,1976700
10,1000000,1048576,2040000
10,1000000,1048576,1993800
10,1000000,1048576,1964300
10,1000000,1048576,2067700
10,1000000,1048576,2006200
10,1000000,1048576,1986200
10,1000000,1048576,2095300
10,1000000,1048576,1952300
10,1000000,1048576,2026800
10,1000000,1048576,1975000
10,1000000,1048576,1980100
10,1000000,1048576,1996200
10,1000000,1048576,1948200
10,1000000,1048576,1996000
10,1000000,1048576,2039900
10,1000000,1048576,2050900
10,1000000,1048576,1983700
10,1000000,1048576,1978100
10,1000000,1048576,1960000
10,1000000,1048576,1961500
10,1000000,1048576,1951100
10,1000000,1048576,2168900
10,1000000,1048576,1950100
10,1000000,1048576,2152900
10,1000000,1048576,2068700
10,1000000,1048576,2005700
10,1000000,1048576,1968600
10,1000000,1048576,1979200
10,1000000,1048576,1951700
10,1000000,1048576,1935700
10,1000000,1048576,2103500
10,1000000,1048576,1948700
10,1000000,1048576,1941100
10,1000000,1048576,2077200
10,1000000,1048576,1955500
10,1000000,1048576,1998500
10,1000000,1048576,1971400
10,1000000,1048576,1978700
10,1000000,1048576,1964700
10,1000000,1048576,1957300
10,1000000,1048576,2050300
10,1000000,1048576,1972300
10,1000000,1048576,2004000
10,1000000,1048576,2011600
10,1000000,1048576,2070800
10,1000000,1048576,1965600
10,1000000,1048576,2056400
10,1000000,1048576,2054100
10,1000000,1048576,1983300
10,1000000,1048576,1998300
10,1000000,1048576,2006400
10,1000000,1048576,2087300
10,1000000,1048576,2046800
10,1000000,1048576,2021500
10,1000000,1048576,2081100
10,1000000,1048576,2018100
10,1000000,1048576,1945900
10,1000000,1048576,1992400
10,1000000,1048576,1972700
10,1000000,1048576,2002700
10,1000000,1048576,1950300
10,1000000,1048576,1965900
10,1000000,1048576,2015000
10,1000000,1048576,2088200
10,1000000,1048576,2164200
10,1000000,1048576,1954200
10,1000000,1048576,2002500
10,1000000,1048576,1998100
10,1000000,1048576,1925900
10,1000000,1048576,1968300
10,1000000,1048576,2022000
10,1000000,1048576,1952000
10,1000000,1048576,1997700
