matrix_size,exponent,field_size,computation_time_ns
80,1000000,1048576,1056291600
80,1000000,1048576,1056774000
80,1000000,1048576,1059975700
80,1000000,1048576,1062087400
80,1000000,1048576,1058194800
80,1000000,1048576,1055268500
80,1000000,1048576,1083218300
80,1000000,1048576,1053409000
80,1000000,1048576,1052317700
80,1000000,1048576,1051912300
80,1000000,1048576,1052370500
80,1000000,1048576,1059031200
80,1000000,1048576,1053251000
80,1000000,1048576,1053804300
80,1000000,1048576,1050741900
80,1000000,1048576,1047895500
80,1000000,1048576,1051102800
80,1000000,1048576,1053817000
80,1000000,1048576,1068627500
80,1000000,1048576,1051167900
80,1000000,1048576,1059537400
80,1000000,1048576,1058942500
80,1000000,1048576,1059448500
80,1000000,1048576,1058188600
80,1000000,1048576,1052955700
80,1000000,1048576,1049429900
80,1000000,1048576,1051544500
80,1000000,1048576,1063120600
80,1000000,1048576,1053937500
80,1000000,1048576,1051419200
80,1000000,1048576,1052949400
80,1000000,1048576,1053335300
80,1000000,1048576,1052598300
80,1000000,1048576,1052436700
80,1000000,1048576,1048805700
80,1000000,1048576,1054289600
80,1000000,1048576,1071662200
80,1000000,1048576,1073460200
80,1000000,1048576,1066314200
80,1000000,1048576,1102896800
80,1000000,1048576,1062683000
80,1000000,1048576,1107478900
80,1000000,1048576,1061061800
80,1000000,1048576,1051082200
80,1000000,1048576,1054396300
80,1000000,1048576,1051790600
80,1000000,1048576,1053751300
80,1000000,1048576,1058451000
80,1000000,1048576,1056852400
80,1000000,1048576,1055144900
80,1000000,1048576,1067594700
80,1000000,1048576,1057546100
80,1000000,1048576,1055453800
80,1000000,1048576,1051116300
80,1000000,1048576,1053750400
80,1000000,1048576,1053653200
80,1000000,1048576,1054730900
80,1000000,1048576,1059322100
80,1000000,1048576,1067220300
80,1000000,1048576,1055332500
80,1000000,1048576,1057740700
80,1000000,1048576,1051215800
80,1000000,1048576,1052698600
80,1000000,1048576,1050051700
80,1000000,1048576,1051832600
80,1000000,1048576,1055475000
80,1000000,1048576,1081605900
80,1000000,1048576,1058134300
80,1000000,1048576,1057126300
80,1000000,1048576,1060423200
80,1000000,1048576,1084660600
80,1000000,1048576,1055695500
80,1000000,1048576,1054284800
80,1000000,1048576,1058071900
80,1000000,1048576,1061843200
80,1000000,1048576,1069402200
80,1000000,1048576,1054732200
80,1000000,1048576,1056654400
80,1000000,1048576,1059186500
80,1000000,1048576,1060611400
80,1000000,1048576,1055421200
80,1000000,1048576,1052774900
80,1000000,1048576,1053075300
80,1000000,1048576,1067990500
80,1000000,1048576,1055596300
80,1000000,1048576,1059933100
80,1000000,1048576,1067110000
80,1000000,1048576,1053930600
80,1000000,1048576,1060351700
80,1000000,1048576,1060028700
