matrix_size,exponent,field_size,computation_time_ns
20,1000000,1048576,15335600
20,1000000,1048576,15349900
20,1000000,1048576,15563800
20,1000000,1048576,15568900
20,1000000,1048576,15451200
20,1000000,1048576,15457200
20,1000000,1048576,15577800
20,1000000,1048576,15386900
20,1000000,1048576,15407700
20,1000000,1048576,15284800
20,1000000,1048576,15638100
20,1000000,1048576,15262600
20,1000000,1048576,15651100
20,1000000,1048576,15269600
20,1000000,1048576,15448600
20,1000000,1048576,15362800
20,1000000,1048576,16079000
20,1000000,1048576,15645900
20,1000000,1048576,15419600
20,1000000,1048576,15326300
20,1000000,1048576,15722100
20,1000000,1048576,15565200
20,1000000,1048576,15448200
20,1000000,1048576,15793000
20,1000000,1048576,15437800
20,1000000,1048576,15557600
20,1000000,1048576,15518400
20,1000000,1048576,15483100
20,1000000,1048576,15647300
20,1000000,1048576,15744800
20,1000000,1048576,15582400
20,1000000,1048576,15658200
20,1000000,1048576,15730600
20,1000000,1048576,15528500
20,1000000,1048576,15569400
20,1000000,1048576,15297000
20,1000000,1048576,15346800
20,1000000,1048576,15538200
20,1000000,1048576,15376200
20,1000000,1048576,15767900
20,1000000,1048576,15575800
20,1000000,1048576,15571800
20,1000000,1048576,15484700
20,1000000,1048576,15610700
20,1000000,1048576,15285800
20,1000000,1048576,15611700
20,1000000,1048576,15535300
20,1000000,1048576,15402600
20,1000000,1048576,15604000
20,1000000,1048576,15502100
20,1000000,1048576,15524400
20,1000000,1048576,15212600
20,1000000,1048576,15516600
20,1000000,1048576,16096300
20,1000000,1048576,15371600
20,1000000,1048576,15368800
20,1000000,1048576,15858200
20,1000000,1048576,16204500
20,1000000,1048576,15921300
20,1000000,1048576,15378300
20,1000000,1048576,15393500
20,1000000,1048576,15595700
20,1000000,1048576,15233000
20,1000000,1048576,15298100
20,1000000,1048576,15436700
20,1000000,1048576,15509700
20,1000000,1048576,15548300
20,1000000,1048576,15967500
20,1000000,1048576,15910200
20,1000000,1048576,15826200
20,1000000,1048576,15845100
20,1000000,1048576,15490200
20,1000000,1048576,15466600
20,1000000,1048576,15586400
20,1000000,1048576,15463500
20,1000000,1048576,15743600
20,1000000,1048576,15518700
20,1000000,1048576,15311500
20,1000000,1048576,15647600
20,1000000,1048576,15347000
20,1000000,1048576,15360500
20,1000000,1048576,15561600
20,1000000,1048576,15766400
20,1000000,1048576,15367300
20,1000000,1048576,15449300
20,1000000,1048576,15340500
20,1000000,1048576,15657600
20,1000000,1048576,15868600
20,1000000,1048576,15526600
20,1000000,1048576,15672900
20,1000000,1048576,15558700
20,1000000,1048576,15457600
20,1000000,1048576,15555200
20,1000000,1048576,15440200
20,1000000,1048576,15827400
20,1000000,1048576,15332700
20,1000000,1048576,15369000
20,1000000,1048576,15331600
20,1000000,1048576,15561800
20,1000000,1048576,15856200
20,1000000,1048576,15231000
20,1000000,1048576,15442400
20,1000000,1048576,15461700
20,1000000,1048576,15354800
20,1000000,1048576,15456600
20,1000000,1048576,15780700
20,1000000,1048576,15320900
20,1000000,1048576,15787900
20,1000000,1048576,15315800
20,1000000,1048576,15465900
20,1000000,1048576,16098000
20,1000000,1048576,15662000
20,1000000,1048576,15499500
20,1000000,1048576,15380000
20,1000000,1048576,15310300
20,1000000,1048576,15420700
20,1000000,1048576,15551200
20,1000000,1048576,15374500
20,1000000,1048576,15566500
20,1000000,1048576,15692000
20,1000000,1048576,15428000
20,1000000,1048576,15596200
20,1000000,1048576,15630500
20,1000000,1048576,15551000
