matrix_size,exponent,field_size,computation_time_ns
64,287728,1048576,550622000
64,143601,1048576,512393300
64,972658,1048576,654355900
64,944405,1048576,597490300
64,422929,1048576,533184600
64,293489,1048576,580491400
64,547961,1048576,594955100
64,318315,1048576,618982400
64,346360,1048576,554633600
64,540392,1048576,594616400
64,377059,1048576,553200400
64,864310,1048576,574110400
64,725771,1048576,594302600
64,998999,1048576,683502900
64,301922,1048576,557686300
64,229841,1048576,515472300
64,826024,1048576,573242100
64,920724,1048576,559406100
64,805818,1048576,620863500
64,151082,1048576,526587700
64,233213,1048576,624956000
64,624197,1048576,558932300
64,512998,1048576,645222800
64,312420,1048576,547466000
64,289292,1048576,535542400
64,501799,1048576,576922400
64,247442,1048576,532495800
64,277013,1048576,536964900
64,671311,1048576,641951300
64,643212,1048576,551251900
64,328704,1048576,435994200
64,859880,1048576,617375200
64,358192,1048576,584182900
64,862166,1048576,635754900
64,827910,1048576,532361100
64,949370,1048576,659487900
64,198191,1048576,536693900
64,487263,1048576,677895000
64,863500,1048576,580035100
64,633791,1048576,680586900
64,996510,1048576,640030300
64,845299,1048576,667014400
64,267089,1048576,515250600
64,591900,1048576,513713000
64,613382,1048576,553653500
64,887282,1048576,621787600
64,662884,1048576,583088300
64,604268,1048576,584317800
64,406017,1048576,495231600
64,165905,1048576,451397100
64,578285,1048576,616787900
64,952062,1048576,660460800
64,492800,1048576,495035800
64,432216,1048576,535345500
64,914052,1048576,595984500
64,902099,1048576,642818600
64,378885,1048576,512693200
64,765027,1048576,619552700
64,175863,1048576,615085100
64,329026,1048576,491170700
64,113991,1048576,552881000
64,299619,1048576,533199500
64,177415,1048576,533335200
64,669814,1048576,593435500
64,332883,1048576,536436100
64,475196,1048576,536654800
64,435113,1048576,574644300
64,853645,1048576,577212300
64,796744,1048576,514897400
64,177222,1048576,512816900
64,802918,1048576,535116400
64,405752,1048576,555015200
64,716536,1048576,660706800
64,492559,1048576,562338100
64,940541,1048576,680871200
64,322912,1048576,559577600
64,377420,1048576,536040000
64,713238,1048576,576344700
64,246654,1048576,594288400
64,102461,1048576,495852900
64,413822,1048576,574582800
64,874511,1048576,597384600
64,367184,1048576,529745300
64,844703,1048576,657284100
64,232382,1048576,595322700
64,789764,1048576,512654000
64,864298,1048576,556011200
64,511751,1048576,619362100
64,860176,1048576,493712700
64,951823,1048576,596913800
64,171035,1048576,534499200
64,652972,1048576,639630600
64,271243,1048576,534830700
64,516003,1048576,660386800
64,861028,1048576,578223800
64,807577,1048576,580176700
64,481210,1048576,637005900
64,128259,1048576,515702200
64,344826,1048576,573361100
64,761484,1048576,616779800
