matrix_size,exponent,field_size,computation_time_ns
64,128,1048576,165557200
64,984,1048576,308395300
64,892,1048576,330553200
64,222,1048576,268237500
64,521,1048576,248088800
64,310,1048576,267477300
64,470,1048576,295546500
64,765,1048576,358748300
64,459,1048576,286837400
64,817,1048576,289750400
64,555,1048576,289200000
64,959,1048576,372460100
64,459,1048576,286062700
64,576,1048576,226810900
64,403,1048576,269361300
64,858,1048576,308836500
64,150,1048576,226082600
64,878,1048576,328933100
64,645,1048576,267149400
64,210,1048576,225292100
64,711,1048576,307779300
64,423,1048576,288357800
64,304,1048576,226443900
64,971,1048576,358578500
64,542,1048576,287052700
64,244,1048576,247807200
64,971,1048576,330548100
64,974,1048576,329974800
64,292,1048576,227243900
64,873,1048576,307811200
64,670,1048576,308987300
64,342,1048576,268740000
64,832,1048576,245081400
64,298,1048576,247343100
64,433,1048576,271283000
64,105,1048576,205097200
64,562,1048576,267600700
64,622,1048576,307614000
64,550,1048576,271417400
64,218,1048576,248333800
64,864,1048576,267160300
64,825,1048576,311345300
64,349,1048576,286950300
64,782,1048576,287675100
64,659,1048576,289677500
64,799,1048576,329585400
64,494,1048576,308911300
64,674,1048576,267945300
64,301,1048576,270273500
64,823,1048576,327753000
64,891,1048576,349667800
64,570,1048576,286093700
64,383,1048576,329763400
64,681,1048576,288987400
64,169,1048576,226479500
64,273,1048576,226663200
64,731,1048576,328936700
64,218,1048576,248285600
64,390,1048576,251500800
64,681,1048576,291418400
64,101,1048576,206336200
64,791,1048576,324364600
64,954,1048576,327347500
64,847,1048576,329926200
64,371,1048576,289713600
64,610,1048576,267598200
64,857,1048576,308129900
64,165,1048576,226568500
64,754,1048576,309252200
64,299,1048576,266485200
64,977,1048576,309768000
64,921,1048576,310771900
64,773,1048576,269288800
64,366,1048576,288838400
64,618,1048576,288721800
64,483,1048576,290045000
64,191,1048576,288368800
64,324,1048576,226283600
64,452,1048576,247456300
64,243,1048576,268004700
64,704,1048576,249410900
64,749,1048576,333297900
64,217,1048576,246145700
64,526,1048576,266766500
64,495,1048576,330979000
64,869,1048576,310612500
64,973,1048576,328219500
64,881,1048576,309343200
64,427,1048576,289371700
64,898,1048576,269840900
64,521,1048576,249812200
64,170,1048576,224714700
64,692,1048576,287333000
64,226,1048576,226821600
64,530,1048576,248933600
64,804,1048576,267993200
64,641,1048576,247984600
64,783,1048576,308941700
64,704,1048576,247048200
64,686,1048576,306923000
