matrix_size,exponent,field_size,computation_time_ns
64,1107,1048576,306591900
64,9748,1048576,368446600
64,7647,1048576,473611200
64,8474,1048576,368343300
64,6948,1048576,369662200
64,3923,1048576,389026300
64,9148,1048576,431119900
64,1638,1048576,333138900
64,6199,1048576,391043900
64,3005,1048576,410799600
64,9878,1048576,408481800
64,1532,1048576,368544600
64,2310,1048576,307057000
64,1238,1048576,326785500
64,9615,1048576,431324100
64,7136,1048576,389343200
64,6757,1048576,395495300
64,9818,1048576,410419500
64,9974,1048576,450437700
64,2570,1048576,311816000
64,6109,1048576,450872400
64,9978,1048576,456883100
64,4429,1048576,371305900
64,8860,1048576,388844700
64,1576,1048576,287421000
64,7124,1048576,412027300
64,7250,1048576,374794800
64,9230,1048576,377636600
64,3537,1048576,370859700
64,4474,1048576,389485100
64,4488,1048576,333294700
64,5508,1048576,351082000
64,1004,1048576,327964400
64,4552,1048576,351552000
64,5301,1048576,396041400
64,2693,1048576,337093900
64,9784,1048576,392238200
64,6552,1048576,373904200
64,1531,1048576,392068400
64,3043,1048576,398428600
64,3002,1048576,390259000
64,1999,1048576,392276500
64,1345,1048576,288679700
64,7120,1048576,393240400
64,6467,1048576,370716300
64,8151,1048576,469917500
64,1913,1048576,368645600
64,2517,1048576,402365800
64,9190,1048576,431754800
64,6469,1048576,371113100
64,1058,1048576,273452300
64,2514,1048576,352154200
64,7661,1048576,454356700
64,5787,1048576,410564900
64,6774,1048576,417698700
64,2844,1048576,346810700
64,3812,1048576,372059900
64,1317,1048576,308529300
64,8020,1048576,413251000
64,1304,1048576,289214700
64,2050,1048576,267616300
64,1510,1048576,351679000
64,7860,1048576,410673700
64,4482,1048576,327024200
64,9941,1048576,435757600
64,7170,1048576,329442500
64,7511,1048576,430510700
64,6059,1048576,431093800
64,4925,1048576,412760300
64,8612,1048576,371244900
64,7039,1048576,472300300
64,1740,1048576,328319900
64,5518,1048576,388350100
64,6424,1048576,351263800
64,6161,1048576,334079800
64,2695,1048576,349042100
64,6616,1048576,387648900
64,9967,1048576,471790400
64,7081,1048576,411612300
64,3997,1048576,414328300
64,8840,1048576,352770500
64,8432,1048576,370718900
64,7332,1048576,372090200
64,5206,1048576,369896900
64,9231,1048576,394622500
64,5947,1048576,434497900
64,4885,1048576,371791700
64,3894,1048576,391428700
64,9912,1048576,415185000
64,2862,1048576,370255900
64,9050,1048576,412417900
64,6644,1048576,413269200
64,2932,1048576,371307800
64,6234,1048576,368806200
64,2638,1048576,349984100
64,9844,1048576,413387900
64,9664,1048576,375172400
64,2741,1048576,371069100
64,8664,1048576,392862700
64,7740,1048576,409451900
