matrix_size,exponent,field_size,computation_time_ns
64,15,1048576,146734500
64,36,1048576,156659500
64,57,1048576,186765900
64,60,1048576,195868300
64,90,1048576,216681400
64,63,1048576,227680900
64,50,1048576,165176800
64,86,1048576,206149600
64,99,1048576,206022600
64,28,1048576,142873200
64,42,1048576,167627300
64,82,1048576,184355400
64,45,1048576,187551300
64,16,1048576,103119600
64,24,1048576,123576900
64,91,1048576,227670900
64,48,1048576,143399000
64,16,1048576,102478600
64,89,1048576,205875200
64,59,1048576,207966000
64,26,1048576,143056700
64,94,1048576,225071300
64,48,1048576,143665700
64,51,1048576,185161400
64,85,1048576,207391600
64,60,1048576,185218600
64,69,1048576,186059200
64,44,1048576,162824900
64,50,1048576,165137300
64,51,1048576,184994400
64,34,1048576,145788500
64,41,1048576,164333900
64,51,1048576,184944400
64,78,1048576,203863800
64,31,1048576,187403600
64,55,1048576,205783300
64,46,1048576,185748400
64,80,1048576,164347500
64,90,1048576,203848400
64,66,1048576,165392800
64,22,1048576,144658600
64,35,1048576,166471100
64,60,1048576,184913200
64,74,1048576,183412100
64,62,1048576,206854100
64,66,1048576,164048400
64,96,1048576,165025400
64,59,1048576,206529400
64,11,1048576,124366100
64,25,1048576,144898800
64,75,1048576,206856500
64,70,1048576,186126600
64,54,1048576,184958700
64,40,1048576,143943000
64,37,1048576,165864100
64,65,1048576,167007200
64,28,1048576,144920400
64,78,1048576,207130000
64,73,1048576,187663400
64,13,1048576,124490300
64,59,1048576,207775000
64,13,1048576,127968600
64,86,1048576,206858900
64,84,1048576,185732800
64,73,1048576,186530100
64,88,1048576,186305600
64,37,1048576,166639200
64,35,1048576,166001400
64,48,1048576,145134600
64,19,1048576,149371300
64,71,1048576,210570100
64,85,1048576,211893900
64,25,1048576,144833900
64,45,1048576,185319200
64,72,1048576,162958500
64,18,1048576,125381600
64,69,1048576,187457800
64,23,1048576,165422300
64,11,1048576,124598800
64,99,1048576,208821100
64,25,1048576,145607300
64,30,1048576,164537500
64,33,1048576,147282200
64,86,1048576,208537400
64,30,1048576,165755300
64,44,1048576,164719100
64,85,1048576,208435700
64,73,1048576,185875000
64,11,1048576,124209600
64,83,1048576,207479600
64,88,1048576,184928000
64,98,1048576,184530900
64,56,1048576,166679000
64,73,1048576,186512100
64,37,1048576,165044700
64,20,1048576,125216300
64,99,1048576,205323000
64,66,1048576,163361500
64,38,1048576,163772000
64,26,1048576,144645700
