matrix_size,exponent,field_size,computation_time_ns
64,11,1048576,123629300
64,14,1048576,122656800
64,20,1048576,123567900
64,13,1048576,124302500
64,20,1048576,124169000
64,19,1048576,144239600
64,18,1048576,124498500
64,18,1048576,125428800
64,18,1048576,124672900
64,11,1048576,123256900
