matrix_size,exponent,field_size,computation_time_ns
64,32765,1048576,575547200
64,78519,1048576,534598300
64,62034,1048576,471406300
64,60741,1048576,492854200
64,45669,1048576,474260400
64,42864,1048576,472845100
64,23493,1048576,476834800
64,49368,1048576,430508700
64,96178,1048576,556444300
64,38676,1048576,452084000
64,75980,1048576,477716400
64,88419,1048576,513631000
64,73902,1048576,469804700
64,25234,1048576,415193200
64,77957,1048576,453135100
64,88506,1048576,531718600
64,28454,1048576,471512600
64,22445,1048576,495435900
64,59311,1048576,556903400
64,81152,1048576,452087400
64,22700,1048576,431849000
64,64283,1048576,537110700
64,54718,1048576,540745100
64,99038,1048576,513805400
64,17399,1048576,502042500
64,45543,1048576,515310500
64,92137,1048576,560971300
64,57602,1048576,412410300
64,65504,1048576,533431000
64,79776,1048576,494924600
64,78237,1048576,515393400
64,14108,1048576,429820200
64,60292,1048576,472653400
64,87050,1048576,454788800
64,86089,1048576,451885500
64,63281,1048576,510762500
64,44311,1048576,493139500
64,54634,1048576,496560100
64,43441,1048576,472596100
64,99673,1048576,492004600
64,40701,1048576,552737100
64,90588,1048576,512097100
64,24830,1048576,471447100
64,40707,1048576,471391000
64,13969,1048576,410328600
64,49471,1048576,493819500
64,46587,1048576,551989400
64,98046,1048576,617166200
64,18353,1048576,453130900
64,47734,1048576,512296800
64,74551,1048576,512761000
64,42288,1048576,438989700
64,22397,1048576,511340000
64,83702,1048576,531033400
64,25192,1048576,411896300
64,25345,1048576,388554900
64,13885,1048576,455118900
64,33981,1048576,470412100
64,54228,1048576,494190500
64,19982,1048576,432102500
64,59082,1048576,494573600
64,82551,1048576,517237500
64,57607,1048576,453344400
64,35784,1048576,452858500
64,21283,1048576,433608800
64,35433,1048576,455073300
64,89378,1048576,493408600
64,74020,1048576,430837300
64,93863,1048576,557211600
64,89560,1048576,534283900
64,57721,1048576,490649600
64,44444,1048576,492119300
64,31791,1048576,494175000
64,96576,1048576,470436400
64,83490,1048576,453758900
64,68875,1048576,477184300
64,10595,1048576,411585700
64,90096,1048576,553678700
64,24859,1048576,430207800
64,36930,1048576,392238100
64,86242,1048576,470162300
64,75851,1048576,473695500
64,90418,1048576,472869600
64,18711,1048576,430226200
64,81549,1048576,530428600
64,74919,1048576,492814900
64,67900,1048576,472486900
64,62451,1048576,553904500
64,32922,1048576,413861200
64,73023,1048576,555025600
64,47249,1048576,449154300
64,47666,1048576,473149800
64,19556,1048576,411909400
64,23778,1048576,448436900
64,30892,1048576,449582100
64,64420,1048576,512649600
64,26487,1048576,515792000
64,94772,1048576,493114700
64,46286,1048576,498062400
64,22464,1048576,429253400
